"","y","m","state","county","mean_spi"
"211","2014",3,"Upper Nile","Maiwut",0.857490197818131
"212","2014",3,"Upper Nile","Malakal",0.662324735228253
"213","2014",3,"Upper Nile","Manyo",0.93293936121074
"214","2014",3,"Upper Nile","Melut",1.0841791545877
"215","2014",3,"Upper Nile","Panyikang",0.609880274609023
"216","2014",3,"Upper Nile","Renk",1.05435185574968
"217","2014",3,"Upper Nile","Ulang",0.206854846851638
"218","2014",3,"Warrap","Gogrial East",0.520032388607172
"219","2014",3,"Warrap","Gogrial West",0.203659590942353
"220","2014",3,"Warrap","Tonj East",0.560120782545185
"221","2014",3,"Warrap","Tonj North",0.517662301297525
"222","2014",3,"Warrap","Tonj South",0.966919600550116
"223","2014",3,"Warrap","Twic",0.0869499128048288
"224","2014",3,"Western Bahr el Ghazal","Jur River",0.759442052904349
"225","2014",3,"Western Bahr el Ghazal","Raja",0.633231695783573
"226","2014",3,"Western Bahr el Ghazal","Wau",0.859268825047449
"227","2014",3,"Western Equatoria","Ezo",1.15985395255715
"228","2014",3,"Western Equatoria","Ibba",0.941324523707873
"229","2014",3,"Western Equatoria","Maridi",0.85919170243769
"230","2014",3,"Western Equatoria","Mundri East",0.66334638562788
"231","2014",3,"Western Equatoria","Mundri West",0.813712248672999
"232","2014",3,"Western Equatoria","Mvolo",0.920060443745048
"233","2014",3,"Western Equatoria","Nagero",1.09309740986706
"234","2014",3,"Western Equatoria","Nzara",1.09948332999409
"235","2014",3,"Western Equatoria","Tambura",1.00267125742401
"236","2014",3,"Western Equatoria","Yambio",0.890570718298011
"237","2014",3,"Warrap","Abyei Region",0.519057870868199
"238","2014",4,"Central Equatoria","Juba",0.329245662446142
"239","2014",4,"Central Equatoria","Kajo-keji",-0.249184181637469
"240","2014",4,"Central Equatoria","Lainya",0.823242060404256
"241","2014",4,"Central Equatoria","Morobo",0.602396207956215
"242","2014",4,"Central Equatoria","Terekeka",1.0421670725069
"243","2014",4,"Central Equatoria","Yei",0.98855433125931
"244","2014",4,"Eastern Equatoria","Budi",-1.30857497042923
"245","2014",4,"Eastern Equatoria","Ikotos",-1.33555582521859
"246","2014",4,"Eastern Equatoria","Kapoeta East",-1.31067263073664
"247","2014",4,"Eastern Equatoria","Kapoeta North",-1.20249366855706
"248","2014",4,"Eastern Equatoria","Kapoeta South",-0.890871147669951
"249","2014",4,"Eastern Equatoria","Lafon",-0.333461653170055
"250","2014",4,"Eastern Equatoria","Magwi",-0.931695929611454
"251","2014",4,"Eastern Equatoria","Torit",-0.686985636813134
"252","2014",4,"Jonglei","Akobo",1.27695002162098
"253","2014",4,"Jonglei","Ayod",2.11386127904254
"254","2014",4,"Jonglei","Bor South",1.03458439766552
"255","2014",4,"Jonglei","Canal/Pigi",1.91252280139364
"256","2014",4,"Jonglei","Duk",2.14164129033369
"257","2014",4,"Jonglei","Fangak",2.13378676972702
"258","2014",4,"Jonglei","Nyirol",1.70186373649001
"259","2014",4,"Jonglei","Pibor",0.551227006888726
"260","2014",4,"Jonglei","Pochalla",0.947968889237443
"261","2014",4,"Jonglei","Twic East",2.11699773193025
"262","2014",4,"Jonglei","Uror",1.48556451094232
"263","2014",4,"Lakes","Awerial",1.73038894316554
"264","2014",4,"Lakes","Cueibet",2.01846897477984
"265","2014",4,"Lakes","Rumbek Centre",2.014112169423
"266","2014",4,"Lakes","Rumbek East",1.97414852364801
"267","2014",4,"Lakes","Rumbek North",2.13860823699173
"268","2014",4,"Lakes","Wulu",1.02984865256684
"269","2014",4,"Lakes","Yirol East",2.13521253596757
"270","2014",4,"Lakes","Yirol West",2.10235343118148
"271","2014",4,"Northern Bahr el Ghazal","Aweil Centre",1.98852413835046
"272","2014",4,"Northern Bahr el Ghazal","Aweil East",2.13394769161262
"273","2014",4,"Northern Bahr el Ghazal","Aweil North",2.1360351727822
"274","2014",4,"Northern Bahr el Ghazal","Aweil South",2.12344297028192
"275","2014",4,"Northern Bahr el Ghazal","Aweil West",2.14164129033369
"276","2014",4,"Unity","Abiemnhom",2.14164129033369
"277","2014",4,"Unity","Guit",2.14164129033369
"278","2014",4,"Unity","Koch",2.13612664789376
"279","2014",4,"Unity","Leer",1.91528564277621
"280","2014",4,"Unity","Mayendit",2.0699509386146
"281","2014",4,"Unity","Mayom",2.14164129033369
"282","2014",4,"Unity","Panyijiar",2.12356098143685
"283","2014",4,"Unity","Pariang",2.14164129033369
"284","2014",4,"Unity","Rubkona",2.14164129033369
"285","2014",4,"Upper Nile","Baliet",1.77454898672758
"286","2014",4,"Upper Nile","Fashoda",1.91632875635942
"287","2014",4,"Upper Nile","Longochuk",1.52650812779213
"288","2014",4,"Upper Nile","Luakpiny/Nasir",1.3243223287907
"289","2014",4,"Upper Nile","Maban",1.55824539842395
"290","2014",4,"Upper Nile","Maiwut",1.22878271425573
"291","2014",4,"Upper Nile","Malakal",2.06862333950869
"292","2014",4,"Upper Nile","Manyo",1.7996518386796
"293","2014",4,"Upper Nile","Melut",1.6106660608122
"294","2014",4,"Upper Nile","Panyikang",1.96480508942661
"295","2014",4,"Upper Nile","Renk",1.84058363062599
"296","2014",4,"Upper Nile","Ulang",1.42283683786368
"297","2014",4,"Warrap","Gogrial East",2.10857014743578
"298","2014",4,"Warrap","Gogrial West",2.05277520033518
"299","2014",4,"Warrap","Tonj East",2.13364878490555
"300","2014",4,"Warrap","Tonj North",2.02402420465726
"301","2014",4,"Warrap","Tonj South",1.86414426992914
"302","2014",4,"Warrap","Twic",2.1235818887556
"303","2014",4,"Western Bahr el Ghazal","Jur River",1.7795313896982
"304","2014",4,"Western Bahr el Ghazal","Raja",1.82287965809864
"305","2014",4,"Western Bahr el Ghazal","Wau",1.39046248086655
"306","2014",4,"Western Equatoria","Ezo",0.742779555196621
"307","2014",4,"Western Equatoria","Ibba",0.623332182477187
"308","2014",4,"Western Equatoria","Maridi",0.834770425809936
"309","2014",4,"Western Equatoria","Mundri East",1.0556149571339
"310","2014",4,"Western Equatoria","Mundri West",1.00902213971761
"311","2014",4,"Western Equatoria","Mvolo",1.43918767128204
"312","2014",4,"Western Equatoria","Nagero",1.16086728643652
"313","2014",4,"Western Equatoria","Nzara",0.752096056660615
"314","2014",4,"Western Equatoria","Tambura",1.26679945640455
"315","2014",4,"Western Equatoria","Yambio",0.717679470398567
"316","2014",4,"Warrap","Abyei Region",2.01541659975673
"317","2014",5,"Central Equatoria","Juba",0.795846141071748
"318","2014",5,"Central Equatoria","Kajo-keji",0.347738741624654
"319","2014",5,"Central Equatoria","Lainya",0.4572993552269
"320","2014",5,"Central Equatoria","Morobo",0.767985328316748
"321","2014",5,"Central Equatoria","Terekeka",0.975889639944073
"322","2014",5,"Central Equatoria","Yei",0.701267130125964
"323","2014",5,"Eastern Equatoria","Budi",-0.417156908091109
"324","2014",5,"Eastern Equatoria","Ikotos",0.209374327303433
"325","2014",5,"Eastern Equatoria","Kapoeta East",0.219320132005386
"326","2014",5,"Eastern Equatoria","Kapoeta North",0.781375888070454
"327","2014",5,"Eastern Equatoria","Kapoeta South",-0.288182381069866
"328","2014",5,"Eastern Equatoria","Lafon",0.920540783883471
"329","2014",5,"Eastern Equatoria","Magwi",0.790757745227202
"330","2014",5,"Eastern Equatoria","Torit",0.877103003508733
"331","2014",5,"Jonglei","Akobo",0.763295027469316
"332","2014",5,"Jonglei","Ayod",1.28184505279962
"333","2014",5,"Jonglei","Bor South",1.40655834432274
"334","2014",5,"Jonglei","Canal/Pigi",1.10634143074346
"335","2014",5,"Jonglei","Duk",0.90414002735786
"336","2014",5,"Jonglei","Fangak",1.08432878950753
"337","2014",5,"Jonglei","Nyirol",1.14903640523785
"338","2014",5,"Jonglei","Pibor",1.07420674245991
"339","2014",5,"Jonglei","Pochalla",1.01397666803829
"340","2014",5,"Jonglei","Twic East",1.38735446537882
"341","2014",5,"Jonglei","Uror",1.2114681419321
"342","2014",5,"Lakes","Awerial",1.16827208207586
"343","2014",5,"Lakes","Cueibet",0.33122231400739
"344","2014",5,"Lakes","Rumbek Centre",0.544697844804744
"345","2014",5,"Lakes","Rumbek East",0.657630704170314
"346","2014",5,"Lakes","Rumbek North",0.688457683683352
"347","2014",5,"Lakes","Wulu",1.19500454475565
"348","2014",5,"Lakes","Yirol East",0.930902784609541
"349","2014",5,"Lakes","Yirol West",0.672920439803508
"350","2014",5,"Northern Bahr el Ghazal","Aweil Centre",0.474556440897747
